frame_id,time_s,x,y,yaw,gt_x,gt_y,gt_yaw
144,0.0,0.0,0.0,0.0,0.07373941221020867,1.1287597258850213,-1.1344640137963142
164,1.3998520374298096,-0.12521611651322995,0.0005131111452179038,-0.11828749352906158,0.08448771965163385,1.0544883522481758,-1.0387907505835448
184,2.800701141357422,-0.09271650389609681,-0.01829583115463197,-0.08972888187172035,0.10240417603922944,0.9825705476604617,-0.9974848557603067
204,4.347366094589233,-0.2313150744639014,-0.009360552395528764,-0.21473710232840904,0.135748931897082,0.9026917290912554,-0.8999790714014536
224,5.667035102844238,-0.30143481589179205,-0.0003185294596478906,-0.2742360730342332,0.17164586218466155,0.8396330572033448,-0.8310356897337003
244,7.000566005706787,-0.37144649359222304,0.01369433879986862,-0.3353840782964764,0.21396779258250798,0.7806197703741669,-0.7711270820640407
264,8.333198070526123,-0.41242115530820755,0.023690523172385347,-0.3692319395502495,0.26185650758248985,0.7263111142305849,-0.7130163744462936
284,9.866223096847534,-0.47702644611790457,0.048998718297521275,-0.42736701573640595,0.323439479276107,0.6688586379705972,-0.6302499882985387
304,11.201873064041138,-0.4546086056977058,0.033757022588792415,-0.40002770634032325,0.3787258092177003,0.6250163726196465,-0.5971294522437136
324,12.533302068710327,-0.4983090296807087,0.05090651573825403,-0.43616179064587646,0.43855537372273223,0.5844165397495412,-0.5395772095065567
344,13.866382122039795,-0.4945542820853583,0.04510674160269448,-0.4230530086599535,0.49894240314640914,0.548750420971338,-0.5052641099155939
364,15.26654601097107,-0.5501005717701719,0.07051088814410689,-0.46480842648976933,0.5657645773610225,0.514613606773811,-0.45110646546190575
384,16.8009250164032,-0.6009982463854567,0.09565746519056995,-0.5021746522297513,0.6415909514422052,0.4814396782395524,-0.3945200180940657
404,18.133219957351685,-0.6247589291595982,0.10659164699749965,-0.5201527187926969,0.707904168520731,0.45668602416424947,-0.35383930033672356
424,19.46721601486206,-0.631053376761691,0.10549076751594638,-0.5206972037559171,0.7747239494859582,0.4353528111633077,-0.3118553646999519
444,20.866472959518433,-0.635797182683865,0.10774046874834256,-0.5250925948893367,0.8464531098580946,0.41622290898958453,-0.27556127273213366
464,22.4014310836792,-0.6522038368313422,0.11502194205049185,-0.5407547772051545,0.9260739828352599,0.3991448868068568,-0.2275735067338873
484,23.93306612968445,-0.7264648868541966,0.16338681430112456,-0.6122566988683801,1.0077043164583854,0.3861309861825218,-0.1684097852211229
504,25.276982069015503,-0.8597331154979055,0.27902577772438525,-0.7563764910186512,1.0813795091015643,0.3781442108298537,-0.09819514360702009
524,26.666447162628174,-0.9128937809793705,0.3405286580248662,-0.8203237545270909,1.1549093297200048,0.3739543486357214,-0.05488482058933394
544,27.999349117279053,-1.0190228996099626,0.46655136578995793,-0.9597761072683232,1.2282230254257722,0.37302774047913234,0.00953824460217338
564,29.666810989379883,-1.067302978002328,0.5348016794201433,-1.0434101010851122,1.3195366723962132,0.37612151566631047,0.08959939171462622
584,31.067039966583252,-1.0903249538617537,0.574493789546635,-1.0965253769888432,1.3953684850912405,0.3828368248150678,0.15205304928001973
604,32.39931607246399,-1.0992285525536294,0.5938103118761336,-1.1305358149438423,1.4672186809281123,0.3927565562054919,0.21119360129130052
624,33.733649015426636,-1.111109890116184,0.6227396596278647,-1.169934210257195,1.5388997319959308,0.4063303063468997,0.27267280821383394
644,35.06635499000549,-1.130957805168734,0.6678342937266946,-1.222710587172052,1.6110950180674055,0.4239962673834522,0.34829792789854164
664,36.666337966918945,-1.151701903270211,0.7247808929177643,-1.2856280644968996,1.695577433801573,0.44995666898845615,0.43313252494885224
684,37.99924898147583,-1.1544353832530498,0.7497703880655612,-1.3143084909338967,1.7614670282848337,0.474384150540653,0.46810022953575614
704,39.33332014083862,-1.146294180810721,0.7352938614346455,-1.312055953402546,1.8262884354280704,0.5028393123929471,0.5098862923035352
724,40.666293144226074,-1.1346223347746327,0.7289189479270214,-1.3122939250249737,1.8891346759598484,0.5351816211466804,0.5504361156932998
744,42.26627516746521,-1.1047067738959364,0.6832912453475829,-1.2796914022487575,1.960827084589162,0.57899217475138,0.5900550977030545
764,43.80015516281128,-1.1085317320851855,0.6884916727454372,-1.295859699862632,2.028535073619638,0.6289815031875712,0.6632396299857862
784,45.13324213027954,-1.1064316007451374,0.6811257229734701,-1.2936812117735157,2.0827965606096233,0.6771242622250948,0.720911182339779
804,46.476454973220825,-1.1015608756831254,0.6860643662705006,-1.2913986837867402,2.132291844930245,0.7298175063058671,0.7719503983150388
824,47.999518156051636,-1.0996085701831584,0.7116371729388786,-1.304855943092324,2.1817599812789723,0.7950344658736285,0.8301222254798031
844,49.53321695327759,-1.0958215075077882,0.7334404066883313,-1.3189783899201362,2.2234919435341776,0.8666246606642061,0.8915200062520076
864,50.86615705490112,-1.1181956403483249,0.8850555150657612,-1.4578649358255138,2.2541246651011244,0.9360835326963196,0.9850376402994397
884,52.3331880569458,-1.110457157601387,0.9444708983627895,-1.5007259781639701,2.2754674108406197,1.0106180247519478,1.031521585809146
