frame_id,time_s,before_x,before_y,after_x,after_y,after_yaw,gt_x,gt_y,gt_yaw,aligned_x,aligned_y
253,0.0,0.0,0.0,0.0,0.0,0.0,0.08484627614200886,1.112475226982509,-0.9193636883439223,0.22349027974703872,0.46466428103809687
263,0.6764559745788574,-0.010948104025188383,-0.006057539126026813,-0.012778194136542286,-0.004319763799254859,-0.005717229183947471,0.08712227370252645,1.0863342909523566,-0.9037112253530902,0.23226908027673188,0.4749051435961227
273,1.334183931350708,-0.07503810733909116,-0.011473522159950983,-0.03283363582473199,-0.009184056820330843,-0.02365525043116377,0.09377646292881817,1.049822074106962,-0.8550629954045039,0.24702595240443947,0.4893313978885493
278,1.6733179092407227,-0.09639499318371073,-0.013163967599473688,-0.04079942755929609,-0.01296435555615242,-0.02059249516155184,0.09775842804504117,1.0315663649299707,-0.8345057886340737,0.2519431119859695,0.4966502801898486
288,2.334156036376953,-0.12806228392055274,-0.012857811142497268,-0.08846591615850413,-0.016099085603357204,-0.07349955734475405,0.10715977230686652,0.996083202006287,-0.7940491758824616,0.2913205612409625,0.523693526260129
298,2.9999771118164062,-0.15325780072521192,-0.013072165762663967,-0.1045361098536823,-0.02250188273822715,-0.10569820956069512,0.11771692446181936,0.9627184019263247,-0.7669965192133276,0.30186545448644964,0.5374067375176033
308,3.6730740070343018,-0.16798434711954555,-0.01469759825479943,-0.13024203229101197,-0.024509698950331563,-0.10288995134827743,0.129619601474769,0.9296352338687627,-0.7556373382158128,0.3229391278337421,0.5522635900088684
313,3.9999570846557617,-0.1929456119587793,-0.01166544572640995,-0.12864181158544016,-0.028558245034974006,-0.09760400600691753,0.13661951694325297,0.9135061263786932,-0.7418637353740318,0.31949540265805076,0.5549267063451038
323,4.685400009155273,-0.21715586619792618,-0.010306770240519045,-0.17082105797511374,-0.026907837962397856,-0.13538565451528822,0.15332532596363885,0.8801661681906225,-0.7058519384817625,0.35659976891702305,0.5750532727195761
333,5.399801015853882,-0.253317038747687,-0.0057526242661840536,-0.2050236792590427,-0.019610676653665192,-0.17061420111045572,0.17293721669770756,0.8461446197798921,-0.6721088885221315,0.38973105897043747,0.5862508387610895
343,6.072925090789795,-0.26942839709062505,-0.007681268081295094,-0.21073637012292362,-0.019878176853627527,-0.17644720025732083,0.19281366753768844,0.8156746533958353,-0.6414870633600733,0.39450559558563547,0.5893988847222189
353,6.734081983566284,-0.30039435453737706,-0.0018983331058341334,-0.23348616792708685,-0.013302253500011808,-0.20264913018721628,0.21426897593774333,0.7865290259039169,-0.6094078232914696,0.4174225266795093,0.5953663244849292
358,7.073137998580933,-0.3096839202444498,-0.0009649566623445458,-0.24409750854163467,-0.007805935513497805,-0.2145510583503463,0.2257192687819011,0.772190396912821,-0.5938308609175417,0.42935260602759073,0.5960614991358705
368,7.733953952789307,-0.3368364434980363,0.006202668563716492,-0.2551955246490456,-0.0041989680475858085,-0.22425499015889383,0.24908285558700083,0.7449855497642727,-0.5626127539874147,0.4407359866410405,0.5986295376149116
378,8.399921894073486,-0.3582173803108715,0.011901157222256535,-0.29243560784486444,-0.0016725313249583594,-0.24006899912290297,0.2734625182334383,0.7188257247311132,-0.5384485618365807,0.4740416554400192,0.6154800303316745
388,9.073791980743408,-0.39364237631876386,0.01924209537235788,-0.3275169871672752,-0.0019094951323955734,-0.24286205395594726,0.29928981672101457,0.6935982300099213,-0.5141565379534231,0.5040799334702945,0.6336035283379864
393,9.39977502822876,-0.4102016762349986,0.02407027545735361,-0.32832697756010826,0.00020544039874850943,-0.24623047065088732,0.3119498655321394,0.6819707905452673,-0.5007436602812934,0.5058566008375627,0.632199074777536
403,10.078869104385376,-0.4285537423051524,0.028861859514865286,-0.35476156514919593,0.006642739034390423,-0.2932329065051935,0.33920744208283676,0.6583157269381315,-0.4812338747675909,0.5318705205298819,0.6401679026067182
413,10.799901008605957,-0.45362496979181555,0.039867613035816,-0.35552233917055326,0.007933673204186427,-0.2631002238204154,0.3678427590446978,0.6352381197159616,-0.46957788446658666,0.5331839718913317,0.6394466996786703
423,11.733320951461792,-0.5206869276119033,0.06604532336560641,-0.4533258922354523,0.03223998673876576,-0.3183388744247248,0.4075086175431073,0.6063231175642488,-0.44416307186785164,0.6296811050078794,0.6685093074427211
433,12.401839971542358,-0.5575321110888335,0.08697770345319618,-0.4764779509593396,0.04762210127710728,-0.3312837995612141,0.43730066514450955,0.5863797733709832,-0.4255607584955933,0.657442114023777,0.6671115774100471
438,12.733306884765625,-0.5730696456756412,0.0948415851766379,-0.4953841223719419,0.057865987975893436,-0.3443221794518003,0.4522686576349733,0.5770649328031909,-0.41207810600290357,0.6789283128888677,0.6679623361949225
448,13.401079893112183,-0.5947719221345354,0.10777206328322467,-0.5269381797384557,0.07333038367965225,-0.37566257953952414,0.48375850204629833,0.5584820951122167,-0.3811275136042754,0.7139545160325771,0.6707856612040702
458,14.07334303855896,-0.6082625455968765,0.11675746268931032,-0.5489949373681868,0.08588753034086907,-0.403466544595326,0.5159421830062624,0.5407660603520215,-0.35024389970706227,0.7393308883942231,0.6712570582459544
468,14.733447074890137,-0.6265399217798984,0.1259408728798675,-0.5639953278849066,0.09208757031067026,-0.4139333006552111,0.5481685956524067,0.5243104766409464,-0.31908398284675443,0.7553936817286659,0.6735891992314456
473,15.073517084121704,-0.6341100298342848,0.13165200377779832,-0.5630026618233969,0.09101511014279122,-0.41057348550551026,0.564411277179155,0.5163941760349718,-0.3066253157931996,0.7539924715580866,0.6740041290800043
483,15.799846887588501,-0.63594277654737,0.13102056507859502,-0.572340767644686,0.0886954799083671,-0.4202426777828162,0.599936228073579,0.5000687474624996,-0.27842656774895,0.7608355223587246,0.6807682669034032
493,16.473905086517334,-0.6660010909541746,0.14757779346855282,-0.5934005143997167,0.08868388903368685,-0.40222059292953016,0.6328639201134291,0.4859676353278759,-0.2583465994458614,0.7789345811765128,0.6915356778106104
503,17.133241891860962,-0.697156238646699,0.16231816987768757,-0.5949023266831107,0.09060711441178153,-0.3971162952998457,0.6651128168046885,0.47315024688639284,-0.2396773075721886,0.7812080783300144,0.6906494235115962
508,17.533402919769287,-0.7070249415369672,0.164114236196005,-0.6037850403409109,0.09422776722719894,-0.40825487444564057,0.6849432374223505,0.4657273946225787,-0.22623833092137566,0.790693962904963,0.6920741068332538
518,18.473882913589478,-0.7466898085814492,0.18608302451887104,-0.657186070694809,0.12355973504284883,-0.45931495796716615,0.7321540451973375,0.44933665488697716,-0.19803665339992732,0.8515855606600824,0.6941351021328633
528,19.13330888748169,-0.7807993621192851,0.20800806060172097,-0.7155226410521309,0.15398344528784644,-0.5191992828172404,0.7669045319767753,0.43857712049314607,-0.16365657530754948,0.9172778909371659,0.6977786346073886
538,19.799810886383057,-0.7993212578740324,0.22051911297467564,-0.7369112791256306,0.1722988884858188,-0.5467375050658897,0.8023426870770555,0.42860567604997685,-0.12507615954389864,0.9450212563760941,0.6929583677787376
548,20.474328994750977,-0.8225521318965142,0.23844682920110444,-0.7566146478230812,0.18491274329382776,-0.5623123981270406,0.8376222534492483,0.4194498914607814,-0.10050769953959034,0.9684033966115728,0.6921788877253583
553,20.933177947998047,-0.8481919865565346,0.2582066094767533,-0.7804335001041485,0.20015017022918835,-0.5811173311939776,0.8614323937253722,0.41374181416977357,-0.08453499142767713,0.9966637380598142,0.6912461472327416
563,21.599714040756226,-0.8655411831821993,0.2733330787493586,-0.8010268357934233,0.22051456786449722,-0.600374486523386,0.8960161101054395,0.40606272303414104,-0.0646731360178658,1.0247700035852607,0.6842581572446812
573,22.273658990859985,-0.8924054317690716,0.29629270692823123,-0.8145062872928683,0.2266139694118104,-0.6006252740892777,0.9308837363677139,0.39923168503591183,-0.04463963987579952,1.0394738450531262,0.6858999118089014
583,22.932983875274658,-0.8999416896018178,0.30201820939249596,-0.830549259880573,0.23450831663523533,-0.6197732278599704,0.9653690261932626,0.39323533418508183,-0.024149544764838445,1.0572984044107676,0.6873080209097023
588,23.273638010025024,-0.907293330223071,0.3074180005939346,-0.8376956876000199,0.2392361823893788,-0.6058512901317409,0.9833736334750958,0.3904450740391525,-0.014096377965898807,1.0658571820337035,0.686893932344764
598,23.932974100112915,-0.9396201699419904,0.33578681554404466,-0.9153491408459666,0.29640774213191207,-0.7875342375746965,1.018027380438408,0.38567728619681807,0.009546899875716039,1.1618191224013243,0.6774096271358585
608,24.93313503265381,-0.8999167856593665,0.27700758846960194,-0.8841532480305057,0.23864538847314207,-0.6729660845796451,1.074306210703138,0.3801619727744988,0.07595961271762153,1.105494778602415,0.7111326389286511
618,25.59983491897583,-0.9312887325183118,0.29885973333599836,-0.898207961805407,0.2538174644198595,-0.6335199041508455,1.110458415368992,0.37750131798262887,0.10245087502896678,1.1253275478025178,0.7052684992916014
628,26.33295488357544,-0.955256157525625,0.31543020085353335,-0.8999040384331621,0.25407661560188693,-0.6255277797183351,1.1492872162810817,0.3755456367077912,0.12735955386253237,1.1269180340460565,0.7059120742844949
633,26.676265954971313,-0.9621672417745268,0.3200375114815958,-0.9079350275705891,0.260257263954872,-0.6295609817712295,1.167493075957547,0.37491085661927664,0.13488484815476934,1.1369793557154664,0.704700873701029
643,27.332963943481445,-0.9823648451428175,0.3396975154271063,-0.9348718099499249,0.28600257511294647,-0.63545540301915,1.2015315951421461,0.37439537049485605,0.1478409936999502,1.1732876600635072,0.6963272050338429
653,27.999794006347656,-1.005463754704523,0.35915380851107614,-0.9554265120342721,0.30209464647568846,-0.6385021421020034,1.236023184395187,0.37428732822462574,0.15884530848221226,1.199178382281082,0.6929923824640156
663,28.673779010772705,-1.0280997353619288,0.3772218396629149,-0.9851599571581416,0.32453704753278867,-0.6523706322756326,1.2710747820805783,0.37487318683762255,0.17370681262929027,1.2362038198348384,0.6888867645939781
668,28.999814987182617,-1.0292640388375853,0.37869011779936285,-0.9911680769284371,0.3327157943258841,-0.6528705136812677,1.28780828355389,0.37543688863996777,0.18179643075651505,1.2455467296456713,0.6849245128924292
678,29.673820972442627,-1.050189273321372,0.39504337759065467,-1.017972408505153,0.35309755746149707,-0.669593624809469,1.3236092918698026,0.37728590541592233,0.19849338552687595,1.2790014337352618,0.6810942081958422
688,30.333086013793945,-1.0671768348712778,0.414106393968354,-1.0404573555415777,0.3778892883971278,-0.6949503900590904,1.3586339850404057,0.37997151064937085,0.21939667008096217,1.3109954186034152,0.6712663041328233
698,31.073869943618774,-1.083959948778518,0.43306841297732934,-1.0569918135823646,0.3780503422916258,-0.7112627871578817,1.3981571746880306,0.3840067279322589,0.24768263665091206,1.325292292925089,0.6795737481253965
708,31.799778938293457,-1.1040285718059624,0.4518690534489808,-1.0784552452516758,0.4025831073918557,-0.7243599047075416,1.436306412138242,0.38892107440343154,0.2731295403407826,1.3562758038261324,0.6694466797079728
713,32.133063077926636,-1.118939812420225,0.46747025972549716,-1.097563882574089,0.42307152636138295,-0.762784032273666,1.4534321182228083,0.39138874032759724,0.28198415149113254,1.3831690309915876,0.6615936761540692
723,32.799761056900024,-1.1352845238933833,0.48931450307814556,-1.1147685435113246,0.4415581794033316,-0.757856249061359,1.4884767029667367,0.3970923719157004,0.29825646522568006,1.407402903155511,0.654489020032817
733,33.47453689575195,-1.1443957525970299,0.49819014679353907,-1.1255851610476535,0.4477557356871347,-0.7763333956844342,1.5256023758527502,0.4043411302695456,0.3375873597845155,1.4198676550191192,0.6546861996382596
743,34.13287806510925,-1.1558251603438245,0.516026160814222,-1.1404156552741018,0.47047172172357465,-0.8154745215784757,1.5615301122527858,0.41245173970770704,0.3788063023981622,1.444220834545495,0.6427328642223781
748,34.4672589302063,-1.1518916989890242,0.5148771576936627,-1.1223351758815385,0.45556094458756985,-0.7961435357551679,1.5792836450440375,0.4167658111392035,0.39801648228923103,1.42106060386624,0.6463159808473586
758,35.13289403915405,-1.169620021797497,0.537487536127296,-1.1412099530569144,0.4776916368534008,-0.8272477753524058,1.6157476714502546,0.42649639583515786,0.43792062227270595,1.4485916655577675,0.6369316643713274
768,35.80037498474121,-1.1909534230116132,0.5675080151164175,-1.1611000658178419,0.5058815198099247,-0.8566041947883598,1.6501215241593472,0.43639383956728467,0.46376307196348027,1.4800906784924772,0.6228569256212153
778,36.489131927490234,-1.2135219379211082,0.5979018477815452,-1.1690298962671064,0.5149447654946429,-0.8511713078697853,1.6845061444922163,0.4471887360377762,0.4837034906254486,1.4915374826324563,0.6191158952448875
783,36.873663902282715,-1.2297417581689334,0.6233533589780975,-1.1903205585287278,0.5432560130323393,-0.8819213287685859,1.7040471714389112,0.4538300541421209,0.49779407621597616,1.5243025360984517,0.6056522290261487
793,37.73299789428711,-1.2488942669645926,0.6583264598676666,-1.2049328807549446,0.5686971333866943,-0.9148872271837836,1.7494811503629042,0.4709576745820124,0.5490369574355994,1.5498601691602698,0.5912446630275134
803,38.53296709060669,-1.2590084098508285,0.6757166453742096,-1.2334017997004276,0.6114902623482165,-0.9724388517990807,1.7900114327851784,0.4879220804266266,0.5887344361184842,1.5961937738018417,0.568997678666471
813,39.19968509674072,-1.2728641087708568,0.7013721511002986,-1.2405413090826154,0.6210205986740002,-0.9781306696087729,1.8221156116263246,0.5023717868434987,0.6134716073778486,1.6071997348323288,0.5644513915553995
823,39.87351393699646,-1.2835040981342014,0.7227576449562344,-1.2569165416954309,0.653125718028083,-1.0122870317516306,1.855262880111474,0.5186690241657181,0.6421910034152087,1.6376769459341456,0.5452153177533209
828,40.199716091156006,-1.2929529380706508,0.7405712375229196,-1.2600820716431427,0.6610005535509607,-1.0194154903727903,1.8711737201552237,0.5269784635489775,0.6574626343701591,1.6444208529989446,0.540062325237938
838,40.87371492385864,-1.3073196572475445,0.7747994767396188,-1.2788528521756506,0.6865369616936877,-1.035298040626134,1.9030968664952181,0.5446963591124598,0.6898675790400798,1.6736021695061296,0.5276970064171796
848,41.53294396400452,-1.315938605747582,0.799251361860317,-1.2801829649885328,0.7011444092430869,-1.0466767035445,1.9346040081479632,0.5637655697299117,0.7248177733428163,1.682207234876172,0.5158184722491631
858,42.27442789077759,-1.327200007029747,0.8348442231032783,-1.313623783028839,0.763664252960922,-1.1158366480159991,1.9690121762035206,0.5862863784569363,0.7644454772051409,1.742891686609478,0.4791521868150553
863,42.59980010986328,-1.3268054105855518,0.8412672791582997,-1.3153726546285347,0.7676294585385574,-1.1081643142088295,1.9838627894788463,0.5967540306716623,0.782506702822922,1.7464206355243563,0.4766366497548412
873,43.274502992630005,-1.3243981406204046,0.8556601923036038,-1.318986580594108,0.7835706494200202,-1.121579797950304,2.0136732083462006,0.6189994729773074,0.8194757063899932,1.7576703700454228,0.4647780874132501
883,43.99980807304382,-1.3415255003698925,0.9021943875568272,-1.3334171824241159,0.8289339531324399,-1.1554293448588122,2.044876440340492,0.6442012773515972,0.8558687347923075,1.7932481508154812,0.4331506767010352
893,44.932929039001465,-1.350017998326471,0.950930456546621,-1.3395533002577626,0.8769413420115262,-1.1912470133925948,2.0828902708634374,0.6785440490391483,0.9037314653773751,1.823045811812378,0.3950132839195375
903,45.60041308403015,-1.3513928889174744,0.9827711532270187,-1.3454945425920763,0.9176306949875874,-1.2311732328065326,2.108902774222023,0.7045209556272205,0.9374715858598069,1.8489378420354359,0.3630676335581222
908,45.932775020599365,-1.3515585636061487,0.9973019638034264,-1.3454416044751498,0.9419518623832905,-1.2558416601322124,2.121346420576488,0.7178967296316549,0.9532668608640943,1.8613157310580177,0.34213178274477607
918,46.60124707221985,-1.3459228604515685,1.0070106804054058,-1.3393950656082738,0.954561393112303,-1.2594158013870087,2.144921756151006,0.7449473357353693,0.9783966486471636,1.8625585706539545,0.3282028112388347
928,47.332881927490234,-1.3389240174706638,1.0257031943626806,-1.3287930698525703,0.9612974112508692,-1.2653459623662675,2.169025110996656,0.7755508729172028,1.0016095596566212,1.8568848764723973,0.3169963198743973
938,47.999577045440674,-1.3313360977035744,1.0366786787989308,-1.3201625828658214,0.9733072541472374,-1.2676649198940835,2.189364536318403,0.804415770871594,1.020880892384221,1.8555999820922326,0.302263001223947
943,48.333101987838745,-1.3284813019809252,1.062374562433946,-1.3255326984036098,1.0094572356202836,-1.2949642753500925,2.1992477572936404,0.8197848623987745,1.0358005533116035,1.878682278432027,0.273928095240819
953,48.99974298477173,-1.3246565002009962,1.1134206032318448,-1.3302101006307672,1.0647161929194642,-1.3475674038896,2.2184632434527383,0.8524918292810229,1.0829244564312561,1.9109300325926921,0.2288114375079972
961,49.53385090827942,-1.3194815781297684,1.1341996892106898,-1.3246883980441855,1.0833955016473171,-1.38979906699159,2.2324821642880184,0.8794853862962327,1.1183487932765677,1.915724551214812,0.20993239184389512
