frame_id,time_s,x,y,yaw,gt_x,gt_y,gt_yaw
59,0.0,0.0,0.0,0.0,0.11133849999999997,1.423999,-1.5707963267948968
79,1.3338940143585205,0.0005357508827285825,-0.0010319387594972529,0.0008283124514124511,0.170756991013718,1.423999,-1.5707963267948968
99,2.6669700145721436,-0.002039770732972873,0.003810792491218954,0.0042038317178381655,0.2373792328648361,1.423999,-1.5707963267948968
119,4.0667970180511475,-0.0915885479251976,0.02100123352173471,-0.04653068856515069,0.3075230577981651,1.423999,-1.5707963267948968
139,5.399908065795898,-0.1281464986037713,0.05264580588403682,-0.046795563478283494,0.37403247363636355,1.423999,-1.5707963267948968
159,6.834418058395386,-0.17678077678898324,0.08288664526227991,-0.05653218458251964,0.44568329854362315,1.423999,-1.5707963267948968
179,8.234256982803345,-0.3409722689219865,0.1478260346812149,-0.1660707500295003,0.5152044489361702,1.423999,-1.5707963267948968
199,9.567210912704468,-0.17852375364959638,0.17633227122842385,-0.022018343643728483,0.5822455412844036,1.423999,-1.5707963267948968
219,10.900420904159546,-0.33005662853209994,0.2287845635089335,-0.16449995601906617,0.6489163387741931,1.423999,-1.5707963267948968
239,12.234225988388062,-0.3812291607180817,0.24954851645251824,-0.18426324933456872,0.7156509479449541,1.423999,-1.5707963267948968
259,13.56713604927063,-0.4307752020395835,0.280164713101482,-0.22425444574337206,0.7822653911467891,1.423999,-1.5707963267948968
279,14.900400876998901,-0.47421339496954007,0.313643246960813,-0.25741040183249053,0.8489305384541959,1.423999,-1.5707963267948968
299,16.239820957183838,-0.44084234314303433,0.3238118851172916,-0.2346265741097937,0.9158238119266057,1.423999,-1.5707963267948968
319,17.566976070404053,-0.40327940659755845,0.3361737184261097,-0.20896032719283078,0.9822092695566403,1.423999,-1.5707963267948968
339,18.90034008026123,-0.43167779754220365,0.32502025923876426,-0.23966644294906608,1.049048442559633,1.423999,-1.5707963267948968
359,20.234280109405518,-0.4862570588044019,0.325246616948763,-0.286388453142293,1.115524119266055,1.423999,-1.5707963267948968
379,21.634921073913574,-0.5619681029825263,0.344616867718737,-0.3442222349445614,1.185415606969223,1.423999,-1.5707963267948968
399,22.96709704399109,-0.6130705330833224,0.36228245184900054,-0.386176422636282,1.2520696669724771,1.423999,-1.5707963267948968
419,24.300278902053833,-0.6581506518730899,0.3807050303313529,-0.4232159644627656,1.3187660651376145,1.423999,-1.5707963267948968
439,25.634114980697632,-0.6121192429549837,0.37662243122698674,-0.3917291335584414,1.3854932830253004,1.423999,-1.5707963267948968
459,27.034864902496338,-0.5774753671372927,0.34776381963901826,-0.35319887457667387,1.4554207197707294,1.423999,-1.5707963267948968
479,28.367496013641357,-0.5029634939471371,0.31232536879013406,-0.2997434798917342,1.5220019408950376,1.423999,-1.5707963267948968
499,29.70037007331848,-0.4117487175370395,0.25706750317935434,-0.2354570158000365,1.5886279730138817,1.423999,-1.5707963267948968
519,31.037681102752686,-0.33423200025403876,0.22472804038392719,-0.17870426911005238,1.655581897042229,1.423999,-1.5707963267948968
539,32.36682891845703,-0.27265910050469633,0.19926270255454165,-0.14047838356207407,1.7219976926605505,1.423999,-1.5707963267948968
559,33.70083498954773,-0.20721051104490884,0.17530378487232365,-0.09963180674789729,1.788712867272727,1.423999,-1.5707963267948968
579,35.034018993377686,-0.17129497717767755,0.15357625965202087,-0.08829043452460553,1.8553255458715594,1.423999,-1.5707963267948968
599,36.36678504943848,-0.06386750024993486,0.12208234942506213,-0.027949194392035803,1.9218750028990823,1.423999,-1.5707963267948968
619,37.7000150680542,0.034725096845746165,0.10642961593733946,0.032071105715372354,1.9885602336430332,1.423999,-1.5707963267948968
639,39.03470706939697,-0.03127390423357619,0.0715231114014258,0.0031468181616539047,2.054770564,1.423999,-1.5707963267948968
650,39.76692199707031,-0.13876681732011348,0.059170330577199164,-0.07301761268891575,2.0916556566579083,1.423999,-1.5707963267948968
