sequence,split,stride,raw_frames,processed_frames,evaluation_keyframes,odometry_ate_m,loop_ate_m,stationary_ate_m,loop_change_m,initial_alignment_ate_m,rpe_1s_translation_m,rpe_1s_yaw_deg,rpe_pairs,rpe_actual_lag_minmax_s,estimated_length_m,reference_length_m,rejected_pairs,loop_constraints,median_loop_translation_error_m,median_loop_yaw_error_deg,duration_s,dt_quantiles_s,tilt_minmax_deg,vertical_span_m,estimate_seconds
2023-09-21_123500,development,20,780,40,40,0.830797883017459,0.8159167233886215,0.7653337809391902,-0.014881159628837515,1.122172069160778,,,0,,3.6660180972370875,2.8174238330468593,0,28,1.269885535987243,58.83425062942637,52.50917291641235,"[1.2670538425445557, 1.3336749076843262, 1.4670000076293945]","[-42.0, -42.0]",0.0,0.23769375000847504
2023-09-21_124735,development,1,592,592,81,1.6865471121640778,1.6888372030427046,0.5806504455359587,0.0022900908786267493,2.010189806650192,1.307434348270482,65.82636620955866,576,"[0.9329619407653809, 1.066187858581543]",74.19989487750709,1.9803171566970799,0,7,0.8059440953693885,28.70012083961248,39.76692199707031,"[0.05433487892150879, 0.06662893295288086, 0.17707300186157227]","[-60.0, -60.0]",0.0,1.9859170420095325
2023-09-21_124735,development,5,592,120,81,0.8317483188455204,0.8022398273946206,0.5853999195233736,-0.029508491450899732,0.9562160723821034,0.30870153567528097,12.969698666655937,116,"[0.9929029941558838, 1.1005480289459229]",11.125661508185607,1.9803171566609552,0,12,0.46378761319398987,13.945987010325547,39.76692199707031,"[0.06692790985107422, 0.33328914642333984, 0.4324150085449219]","[-60.0, -60.0]",0.0,0.4772419589862693
2023-09-21_124735,development,20,592,31,31,0.6068901674435424,0.6108542381306971,0.5994552076886202,0.003964070687154653,1.051700718778033,,,0,,2.1514447795035667,1.9803171566579083,0,19,1.1167450707417141,15.312791591169562,39.76692199707031,"[0.7322149276733398, 1.333247423171997, 1.4345099925994873]","[-60.0, -60.0]",0.0,0.145222916995408
2023-09-20_171105,heldout,1,715,715,81,0.3358238631762641,0.3446478206438759,0.7278841698961659,0.008823957467611776,2.0629247229918755,0.1003110216680656,4.829675715922058,701,"[0.934345006942749, 1.0640101432800293]",4.320591029677286,2.6702677781002384,0,69,0.6976274260458506,28.637730689819303,49.600385904312134,"[0.04638409614562988, 0.06701600551605225, 0.13448715209960938]","[-22.0, -22.0]",2.220446049250313e-16,1.2748381670098752
2023-09-20_171105,heldout,5,715,144,81,0.39983033951759744,0.4103123963381465,0.7284897480819438,0.010482056820549035,1.9991094016546789,0.10277057834596919,5.11576656525098,136,"[0.8749451637268066, 1.1470041275024414]",2.45421905533306,2.670149739960137,0,69,0.6867867167368663,30.610283619033606,49.600385904312134,"[0.2703278064727783, 0.3337528705596924, 0.534311056137085]","[-22.0, -22.0]",0.0,0.5326719169970602
2023-09-20_171105,heldout,20,715,37,37,0.3551133645249462,0.3735307546676576,0.7409173864263107,0.01841739014271143,2.0429615030619472,0.09663538209737942,5.6116080228273795,1,"[1.000823974609375, 1.000823974609375]",2.3268450767242155,2.6695337199130753,0,19,1.5102240791877435,64.96951519227854,49.600385904312134,"[1.000823974609375, 1.3392000198364258, 1.6082231998443604]","[-22.0, -22.0]",0.0,0.16873116698116064
2023-09-20_172513,heldout,1,741,741,81,0.6020722844966861,0.5908130683639607,0.7597939129554238,-0.011259216132725403,2.681074950960094,0.2514831699195468,8.530875744330103,728,"[0.9328968524932861, 1.0670089721679688]",8.32890565025791,2.8281590711686726,0,39,0.6379830809576195,25.759342180255256,52.3331880569458,"[0.04875493049621582, 0.06680500507354736, 0.14855098724365234]","[-22.0, -22.0]",2.220446049250313e-16,1.2487623339984566
2023-09-20_172513,heldout,5,741,149,81,0.3769453714758169,0.3785602824084816,0.7596293111053577,0.0016149109326646927,2.025129010776111,0.10474409624940371,4.780576452780091,137,"[0.8650338649749756, 1.1475880146026611]",2.558014102411869,2.8280615973155423,0,63,0.7181488457509124,30.596151358690324,52.3331880569458,"[0.3173351287841797, 0.3335294723510742, 0.5340428352355957]","[-22.0, -22.0]",0.0,0.4877497499983292
2023-09-20_172513,heldout,20,741,38,38,0.4271374327650375,0.4375301335701191,0.7677687211845089,0.01039270080508159,1.9307032100877768,,,0,,2.004509585170696,2.8272706666890053,0,26,1.700627962425132,83.27548354223418,52.3331880569458,"[1.3196690082550049, 1.3439159393310547, 1.66746187210083]","[-22.0, -22.0]",0.0,0.1886371659929864
2023-09-20_172851,heldout,1,709,709,81,0.48654480235343944,0.4160445184129097,0.728928482055229,-0.07050028394052976,1.9420271344493918,0.09449080549245836,4.365540562408503,694,"[0.9351150989532471, 1.0617659091949463]",3.4507159362348947,2.6670164849792926,0,69,0.6317531112320495,26.885837952176935,49.53385090827942,"[0.03835701942443848, 0.06686043739318848, 0.15810680389404297]","[-22.0, -22.0]",0.0,1.168785250018118
2023-09-20_172851,heldout,5,709,143,81,0.35563080257138224,0.3525306960407676,0.7301603422983484,-0.0031001065306146547,2.068116283183961,0.09728184945277044,4.370394788715818,134,"[0.8593339920043945, 1.1406631469726562]",2.2982365744151805,2.6669085722903363,0,68,0.6906372618310059,28.14094448284649,49.53385090827942,"[0.19987082481384277, 0.33403944969177246, 0.5341038703918457]","[-22.0, -22.0]",0.0,0.46983937500044703
2023-09-20_172851,heldout,20,709,37,37,0.37988568203902234,0.36986448952660345,0.7464559974713744,-0.010021192512418897,2.0932844577541454,,,0,,2.5764126424568783,2.6662541187106807,0,16,1.5299055459033453,59.58691414916936,49.53385090827942,"[0.5341079235076904, 1.3405300378799438, 1.6729888916015625]","[-22.0, -22.0]",0.0,0.14683341700583696
