frame_id,time_s,x,y,yaw,gt_x,gt_y,gt_yaw
150,0.0,0.0,0.0,0.0,0.11131449999999997,1.423999,-1.5707963267948968
170,1.3333721160888672,0.003627092337829152,-0.00030417393320458785,0.001973036886637887,0.17048949541284397,1.423999,-1.5707963267948968
190,2.673218011856079,-0.004220511973922697,-0.0033342947057546342,-0.003210989838747388,0.2374718383454545,1.423999,-1.5707963267948968
210,4.000141143798828,-0.027852468508544552,0.0007029103000236242,-0.01641886081462269,0.30388265359633027,1.423999,-1.5707963267948968
230,5.33321213722229,-0.04014396886469791,0.0137622460397176,-0.019901891414841198,0.3704221,1.423999,-1.5707963267948968
250,6.667126178741455,-0.04380399815166059,0.0261003352139639,-0.01772931866129298,0.437115614678899,1.423999,-1.5707963267948968
270,8.000086069107056,-0.050593145435050314,0.03378015471361018,-0.017494343158888506,0.5037227201834862,1.423999,-1.5707963267948968
290,9.333191156387329,-0.06238723221461952,0.03855150579541803,-0.020363720740616993,0.5703710835492405,1.423999,-1.5707963267948968
310,10.66709017753601,-0.04441795376282946,0.05572070910337742,-0.007191057557832553,0.6371421880733945,1.423999,-1.5707963267948968
330,12.000043153762817,-0.04495872598244067,0.07733094225489923,-0.00522748525507418,0.7033203064,1.423999,-1.5707963267948968
350,13.333162069320679,-0.07280302612599361,0.09385455874584339,-0.021828064613080223,0.7703245715596331,1.423999,-1.5707963267948968
369,14.599982023239136,-0.06348200522920412,0.11137244925178286,-0.012088630706038774,0.8337096259170372,1.423999,-1.5707963267948968
